.type fr
.i 9
.o 8
.p 190
000011000 00000000
011010101 00000001
111000001 00000010
101000001 00000011
001001100 00000100
001101100 00000101
001110101 00000110
001001010 00000111
101111010 00001000
111111101 00001001
001001000 00001010
101001000 00001011
101101101 00001100
001111101 00001101
010001101 00001110
010001110 00001111
001010110 00010000
000001100 00010001
001001101 00010010
011001101 00010011
111011001 00010100
101011001 00010101
001010100 00010110
001110100 00010111
001101101 00011000
001010010 00011001
101100010 00011010
111100101 00011011
001010000 00011100
101010000 00011101
101110101 00011110
001100101 00011111
010010101 00100000
010010110 00100001
001001110 00100010
000010100 00100011
001010101 00100100
100010100 00100101
110010100 00100110
010011001 00100111
010111001 00101000
010100000 00101001
010011111 00101010
110101111 00101011
100101000 00101100
010011101 00101101
110011101 00101110
110111000 00101111
010101000 00110000
001011000 00110001
001011011 00110010
010000011 00110011
011011001 00110100
010011000 00110101
010000000 00110110
110001101 00110111
110101101 00111000
110110100 00111001
110001011 00111010
010111011 00111011
000111100 00111100
110001001 00111101
010001001 00111110
010101100 00111111
110111100 01000000
101001100 01000001
101001111 01000010
110010111 01000011
111001101 01000100
110001100 01000101
100001101 01000110
100101101 01000111
100110100 01001000
100001011 01001001
000111011 01001010
010111100 01001011
100001001 01001100
000001001 01001101
000101100 01001110
100111100 01001111
111001100 01010000
111001111 01010001
100010111 01010010
101001101 01010011
100001100 01010100
000100000 01010101
000111001 01010110
000000110 01010111
100110110 01011000
110110001 01011001
000000100 01011010
100000100 01011011
100100001 01011100
000110001 01011101
011000001 01011110
011000010 01011111
000011010 01100000
001000000 01100001
000000001 01100010
000011001 01100011
000100110 01100100
100010110 01100101
110010001 01100110
000100100 01100111
100100100 01101000
100000001 01101001
000010001 01101010
011100001 01101011
011100010 01101100
000111010 01101101
001100000 01101110
000100001 01101111
000111111 01110000
100001111 01110001
110001000 01110010
000111101 01110011
100111101 01110100
100011000 01110101
000001000 01110110
011111000 01110111
011111011 01111000
000100011 01111001
001111001 01111010
000111000 01111011
100110000 01111100
110110111 01111101
000000010 01111110
100000010 01111111
100100111 10000000
000110111 10000001
011000111 10000010
011000100 10000011
000011100 10000100
001000110 10000101
000000111 10000110
010000111 10000111
100110010 10001000
000110010 10001001
000010111 10001010
100000111 10001011
111110111 10001100
111110100 10001101
100101100 10001110
101110110 10001111
100110111 10010000
110110101 10010001
010110101 10010010
010010000 10010011
110000000 10010100
101110000 10010101
101110011 10010110
110101011 10010111
111110001 10011000
110110000 10011001
100000000 10011010
100100101 10011011
000110101 10011100
011000101 10011101
011000110 10011110
000011110 10011111
001000100 10100000
000000101 10100001
000100101 10100010
100110101 10100011
111000101 10100100
111000110 10100101
100011110 10100110
101000100 10100111
100000101 10101000
100010000 10101001
111100000 10101010
111100011 10101011
100111011 10101100
101100001 10101101
100100000 10101110
011110000 10101111
011110011 10110000
000101011 10110001
001110001 10110010
000110000 10110011
000000011 10110100
011011011 10110101
010000001 10110110
011000000 10110111
011011000 10111000
010000010 10111001
011000011 10111010
001011010 10111011
000011011 10111100
001000001 10111101
.e
