.type fr
.i 7
.o 11
.p 128
0000000 00000000000
0000001 00000000011
0000010 11111100111
0000011 11111101010
0000100 00010010110
0000101 00010011001
0000110 00001111101
0000111 00010000000
0001000 00100000000
0001001 00100000011
0001010 00011100111
0001011 00011101010
0001100 00110010110
0001101 00110011001
0001110 00101111101
0001111 00110000000
0010000 00010010110
0010001 00010011001
0010010 00001111101
0010011 00010000000
0010100 00100101100
0010101 00100101111
0010110 00100010011
0010111 00100010110
0011000 00110010110
0011001 00110011001
0011010 00101111101
0011011 00110000000
0011100 01000101100
0011101 01000101111
0011110 01000010011
0011111 01000010110
0100000 11111100111
0100001 11111101010
0100010 11111001110
0100011 11111010001
0100100 00001111101
0100101 00010000000
0100110 00001100100
0100111 00001100111
0101000 00011100111
0101001 00011101010
0101010 00011001110
0101011 00011010001
0101100 00101111101
0101101 00110000000
0101110 00101100100
0101111 00101100111
0110000 00001111101
0110001 00010000000
0110010 00001100100
0110011 00001100111
0110100 00100010011
0110101 00100010110
0110110 00011111010
0110111 00011111101
0111000 00101111101
0111001 00110000000
0111010 00101100100
0111011 00101100111
0111100 01000010011
0111101 01000010110
0111110 00111111010
0111111 00111111101
1000000 00000000011
1000001 00000000110
1000010 11111101010
1000011 11111101101
1000100 00010011001
1000101 00010011100
1000110 00010000000
1000111 00010000011
1001000 00100000011
1001001 00100000110
1001010 00011101010
1001011 00011101101
1001100 00110011001
1001101 00110011100
1001110 00110000000
1001111 00110000011
1010000 00010011001
1010001 00010011100
1010010 00010000000
1010011 00010000011
1010100 00100101111
1010101 00100110010
1010110 00100010110
1010111 00100011001
1011000 00110011001
1011001 00110011100
1011010 00110000000
1011011 00110000011
1011100 01000101111
1011101 01000110010
1011110 01000010110
1011111 01000011001
1100000 11111101010
1100001 11111101101
1100010 11111010001
1100011 11111010100
1100100 00010000000
1100101 00010000011
1100110 00001100111
1100111 00001101010
1101000 00011101010
1101001 00011101101
1101010 00011010001
1101011 00011010100
1101100 00110000000
1101101 00110000011
1101110 00101100111
1101111 00101101010
1110000 00010000000
1110001 00010000011
1110010 00001100111
1110011 00001101010
1110100 00100010110
1110101 00100011001
1110110 00011111101
1110111 00100000000
1111000 00110000000
1111001 00110000011
1111010 00101100111
1111011 00101101010
1111100 01000010110
1111101 01000011001
1111110 00111111101
1111111 01000000000
.e
